name,adresse,tel,mail,url
ALTERRE NATIVE - Magasin Biocoop à LA FLECHE - 72200,"Allée des futreaux, ZAC de la Monnerie72200 LA FLECHE",Tél : 02 43 45 80 12,contact@alterre-native.fr,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Pays-de-la-Loire/Sarthe/ALTERRE-NATIVE
AQUARIUS - Magasin Biocoop à ANNECY - 74000,6 Rue du 11ème BCA74000 ANNECY,Tél : 04 50 57 56 17,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Auvergne-Rhone-Alpes/Haute-Savoie/AQUARIUS
AQUARIUS LA PAIX - Magasin Biocoop à ANNECY - 74000,10 rue de la Paix74000 ANNECY,Tél : 04 80 94 50 40,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Auvergne-Rhone-Alpes/Haute-Savoie/AQUARIUS-LA-PAIX
AQUARIUS LA ROCHE SUR FORON - Magasin Biocoop à LA ROCHE-SUR-FORON - 74800,2 RUE PERRINE74800 LA ROCHE-SUR-FORON,Tél : 04 50 25 98 18,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Auvergne-Rhone-Alpes/Haute-Savoie/AQUARIUS-LA-ROCHE-SUR-FORON
AQUARIUS PRINGY - Magasin Biocoop à PRINGY - 74370,152 rue de la gare74370 PRINGY,Tél : 04 50 27 22 84,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Auvergne-Rhone-Alpes/Haute-Savoie/AQUARIUS-PRINGY
AU PANIER BIO - Magasin Biocoop à BEAUVAIS - 60000,1 RUE DES FILATURES60000 BEAUVAIS,Tél : 03 44 45 40 25,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Hauts-de-France/Oise/AU-PANIER-BIO
AU PANIER NATUREL - Magasin Biocoop à SOISSONS - 02200,"Rue Marcel Paul, ZAC de l'Archer02200 SOISSONS",Tél : 03 23 59 69 00,panier.naturel@gmail.com,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Hauts-de-France/Aisne/AU-PANIER-NATUREL
AVRANCHES BIO - Magasin Biocoop à AVRANCHES - 50300,27 Place Patton50300 AVRANCHES,Tél : 02 33 68 11 11,magasin@avranches.bio,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Normandie/Manche/AVRANCHES-BIO
BELLEVILLE EN BIO - Magasin Biocoop à PARIS-20E-ARRONDISSEMENT - 75020,62 rue de Belleville75020 PARIS-20E-ARRONDISSEMENT,Tél : 09 62 60 21 52,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Ile-de-France/Paris/BELLEVILLE-EN-BIO
BERGERAC BIO - Magasin Biocoop à BERGERAC - 24100,"75, Avenue Paul Doumer24100 BERGERAC",Tél : 05 53 27 22 22,,https://www.biocoop.fr/magasins-bio/Trouver-mon-magasin-Biocoop/Nouvelle-Aquitaine2/Dordogne/BERGERAC-BIO
